City,Locality,Budget,Eating Preference,Cleanliness Spook,Smoke/Drink,Saturday Twin,Guest/Host,Gender
Noida,Sector 15/16/27,40000+,Non Vegetarian,Organised,Neither,House Party Scenes,I like being the guest,Female
Bangalore,Marathalli,40000+,Veg + Eggs,Messy but not unhygienic,Drink,Clubbing/Going Out,I like being the guest,Female
Delhi,South Delhi,20000-25000,Veg + Eggs,Organised,Drink,Clubbing/Going Out,I like hosting,Male
Delhi,North Delhi,25000-30000,Pescetarian,Messy but not unhygienic,Drink,Chill stay at home,I like being the guest,Female
Delhi,Central Delhi,25000-30000,Veg + Eggs,Organised,Neither,House Party Scenes,I like being the guest,Female
Mumbai,Borivali/Kandivali/Malad,<15000,Vegetarian,Organised,Drink,Clubbing/Going Out,I like being the guest,Female
Gurgaon,Sector 43,25000-30000,Pescetarian,Chaotic,Both,Clubbing/Going Out,I like hosting,Female
Noida,Sector 15/16/27,30000-40000,Vegetarian,Chaotic,Drink,Based on my vibe,I like being the guest,Female
Gurgaon,DLF 1,25000-30000,Non Vegetarian,Organised,Neither,Based on my vibe,I like being the guest,Female
Gurgaon,Sector 48,15000-20000,Vegan,Organised,Both,House Party Scenes,I like being the guest,Male
Gurgaon,Sector 43,15000-20000,Vegan,Organised,Both,Clubbing/Going Out,I like hosting,Female
Delhi,North Delhi,25000-30000,Vegetarian,Organised,Neither,Based on my vibe,I like hosting,Male
Noida,Sector 137,15000-20000,Vegan,Let the dust rot,Neither,House Party Scenes,I like being the guest,Female
Gurgaon,Sushant Lok,<15000,Pescetarian,Organised,Drink,Chill stay at home,I like being the guest,Male
Mumbai,Borivali/Kandivali/Malad,<15000,Pescetarian,Messy but not unhygienic,Both,Chill stay at home,I like hosting,Female
Bangalore,Kormangla,30000-40000,Veg + Eggs,Organised,Neither,Clubbing/Going Out,I like being the guest,Male
Delhi,North Delhi,15000-20000,Vegetarian,Let the dust rot,Both,Clubbing/Going Out,I like hosting,Male
